0.92527,0.9638,0.96002
0.91932,0.95789,0.95974
0.92703,0.95301,0.97274
0.90911,0.93512,0.97218
0.9103,0.95164,0.95655
0.91674,0.95675,0.95818
0.92051,0.96817,0.95077
0.85267,0.97305,0.87629
0.94985,0.96904,0.9802
0.95033,0.96937,0.98035
0.93194,0.95313,0.97777
0.92,0.96286,0.95548
0.91661,0.95708,0.95772
0.90243,0.95467,0.94528
0.93584,0.96712,0.96765
0.92042,0.96942,0.94945
0.91108,0.95052,0.9585
0.90484,0.93973,0.96287
0.8797,0.92734,0.94863
0.921,0.94717,0.97238
0.93872,0.95988,0.97796
0.94056,0.96561,0.97405
0.9257,0.95322,0.97113
0.92746,0.96409,0.96201
0.90651,0.94494,0.95933
0.89975,0.96649,0.93095
0.89663,0.96554,0.92863
0.92689,0.97244,0.95316
0.90802,0.94637,0.95948
0.87387,0.92904,0.94061
0.94562,0.9616,0.98339
0.93611,0.96198,0.97311
0.93212,0.96773,0.9632
0.95339,0.97853,0.9743
0.85267,0.92734,0.87629
0.95339,0.97853,0.98339
0.91872,0.95778,0.95924
