0.93669,0.9638,0.97187
0.93578,0.95789,0.97691
0.93146,0.95301,0.97738
0.9132,0.93512,0.97656
0.92216,0.95164,0.96902
0.93101,0.95675,0.9731
0.94746,0.96817,0.9786
0.87906,0.97305,0.90341
0.93653,0.95313,0.98258
0.92967,0.96286,0.96553
0.93985,0.95708,0.98199
0.93323,0.95467,0.97754
0.94708,0.96712,0.97927
0.93716,0.96942,0.96672
0.89147,0.92734,0.96132
0.92478,0.94717,0.97637
0.94236,0.95988,0.98175
0.94668,0.96561,0.9804
0.94012,0.95322,0.98626
0.94049,0.96409,0.97552
0.92105,0.94494,0.97471
0.91165,0.96649,0.94326
0.93142,0.94637,0.98421
0.89356,0.92904,0.9618
0.9445,0.96773,0.97599
0.96561,0.97853,0.9868
0.87906,0.92734,0.90341
0.96561,0.97853,0.9868
0.92977,0.9567,0.97188
