0.0039362,0.78438,-0.011094,0.014909,0.61445,0.0074292,-0.15132,0.5847,0.0013015,0.1764,0.5281,-0.010972,-0.20661,0.78588,-0.18799,0.22877,0.73246,-0.19809,-0.12578,1.0807,-0.22785,0.15718,0.97193,-0.26538,0.0035445,0.27592,0.029108,0,0.2085,0,-0.078324,0.1361,-0.0026021,0.071592,0.12578,-0.010885,-0.065017,-0.48458,0.03718,0.043932,-0.50871,0.018036,-0.040567,-0.90524,0.085538,0.028147,-0.93824,0.076904
0.0096012,0.73547,-0.0015706,0.052392,0.55462,0.0012865,-0.11351,0.54048,-0.0093487,0.17136,0.5218,-0.0078203,-0.1717,0.79812,-0.1561,0.19093,0.76105,-0.19356,-0.033876,1.0565,-0.1598,0.07489,0.97515,-0.23184,0.0076594,0.26352,0.025164,0,0.20374,0,-0.066277,0.14369,-0.0018791,0.060974,0.12238,-0.010742,-0.081224,-0.48166,0.034675,0.0394,-0.51253,0.015491,-0.047669,-0.89644,0.10801,0.024602,-0.93775,0.085769
-0.00044871,0.72473,0.0044793,0.042531,0.54665,0.0084879,-0.17302,0.49009,0.033789,0.15958,0.51814,-0.0007614,-0.19621,0.74848,-0.10899,0.16225,0.77956,-0.1755,-0.05839,1.0068,-0.11269,0.047685,0.99223,-0.21412,0.0072218,0.27235,0.028005,0,0.22525,0,-0.067216,0.16909,-0.02157,0.051219,0.13128,0.0019588,-0.094807,-0.46325,0.032358,0.03557,-0.50468,0.010772,-0.05534,-0.94123,0.12866,0.01574,-0.93328,0.094916
-0.0030541,0.74674,-0.0038858,0.027224,0.58377,0.026242,-0.15693,0.50886,0.02998,0.1697,0.51472,-0.0031759,-0.19427,0.74925,-0.10488,0.22006,0.73044,-0.14532,-0.050574,1.0265,-0.090467,0.12099,0.95998,-0.18648,0.0092896,0.24588,0.030288,0,0.17161,0,-0.071269,0.11164,-0.010643,0.061574,0.084804,-0.0036682,-0.090831,-0.52139,0.03967,0.042291,-0.55078,0.012334,-0.048462,-0.93633,0.12446,0.023968,-0.9292,0.093016
-0.0012594,0.74144,0.00051197,0.019463,0.57335,0.021638,-0.16455,0.54306,0.031526,0.16831,0.52084,-0.011296,-0.26362,0.73194,-0.0865,0.27671,0.71707,-0.14152,-0.15329,1.0223,-0.14306,0.20789,0.9793,-0.2033,0.0090599,0.24493,0.030563,0,0.17344,0,-0.07217,0.11438,-0.0052266,0.062347,0.086042,-0.0056748,-0.089646,-0.51919,0.040487,0.045332,-0.54954,0.012256,-0.053187,-0.92699,0.11597,0.025338,-0.93016,0.092363
-0.0070054,0.76786,-0.0056026,0.016196,0.58635,0.018746,-0.16598,0.54804,0.028461,0.16836,0.5208,-0.014742,-0.32646,0.74257,-0.081732,0.33243,0.7131,-0.15013,-0.24389,1.0317,-0.18447,0.34277,0.97878,-0.25647,0.0083487,0.24799,0.029606,0,0.18002,0,-0.072741,0.11735,-0.0043912,0.065212,0.094252,-0.0070335,-0.091727,-0.5163,0.04043,0.062181,-0.54109,0.019826,-0.06267,-0.92134,0.11465,0.034632,-0.92948,0.085515
-0.0048392,0.79304,-0.0066238,0.019225,0.62402,0.010693,-0.16966,0.56603,0.028272,0.17151,0.52923,-0.018687,-0.36674,0.6907,-0.031579,0.40395,0.69363,-0.17193,-0.40407,0.88252,-0.1701,0.47088,0.91895,-0.28962,0.0078183,0.26293,0.02847,0,0.19443,0,-0.075072,0.12171,-0.0033063,0.070012,0.11586,-0.0077331,-0.10266,-0.51114,0.046426,0.082201,-0.51958,0.015428,-0.10772,-0.89934,0.078609,0.084253,-0.91457,0.032663
-0.0038548,0.80985,-0.0049566,0.021373,0.62979,0.011292,-0.16799,0.56659,0.028333,0.17452,0.53348,-0.018368,-0.38523,0.64653,-0.010181,0.4512,0.62549,-0.16106,-0.50496,0.83293,-0.20321,0.57999,0.77857,-0.29199,0.007722,0.27205,0.02797,0,0.20303,0,-0.077873,0.12839,0.0007614,0.071246,0.12407,-0.011406,-0.11442,-0.50381,0.052319,0.10479,-0.51039,0.015138,-0.15361,-0.88434,0.052778,0.13043,-0.90818,0.013675
-0.0051567,0.81328,-0.0052482,0.019377,0.63664,0.012069,-0.16966,0.56586,0.027395,0.17435,0.53627,-0.018803,-0.44136,0.57645,0.0015265,0.44471,0.52788,-0.13345,-0.57185,0.66277,-0.18338,0.61718,0.63522,-0.25895,0.0070946,0.28082,0.027802,0,0.21208,0,-0.078996,0.13613,0.0015519,0.072574,0.13173,-0.011498,-0.14102,-0.48322,0.051577,0.12061,-0.50208,0.011225,-0.19149,-0.86372,0.046959,0.17689,-0.91535,0.01431
-0.0058311,0.81463,-0.005267,0.019167,0.63742,0.011068,-0.16792,0.55363,0.01554,0.17433,0.5354,-0.023986,-0.42654,0.48005,0.029445,0.39327,0.4639,-0.077065,-0.61088,0.50373,-0.12293,0.59198,0.44703,-0.20904,0.0065059,0.28071,0.027389,0,0.21167,0,-0.079619,0.13582,0.0030034,0.073884,0.13183,-0.013801,-0.16024,-0.49245,0.054031,0.1505,-0.49278,0.00066294,-0.22432,-0.86895,0.047381,0.20915,-0.89465,0.006605
